Date,Price,Open,High,Low,Vol.,Change %
8/11/2022,55101,54660,55808,54660,105.32K,0.81%
8/12/2022,56602,54571,57044,54571,91.39K,2.72%
8/15/2022,59340,55808,59340,55808,115.17K,4.84%
8/16/2022,59781,58810,59781,58810,103.73K,0.74%
8/17/2022,59605,59163,59781,58722,43.37K,-0.29%
8/18/2022,60929,59605,61812,59163,115.62K,2.22%
8/19/2022,59870,60488,60488,59163,53.00K,-1.74%
8/22/2022,59163,58545,59605,58015,62.63K,-1.18%
8/23/2022,58810,57662,59075,57662,77.91K,-0.60%
8/24/2022,56514,58810,58987,56514,75.88K,-3.90%
8/25/2022,54660,56514,56514,54306,248.46K,-3.28%
8/26/2022,52982,54042,54748,52540,270.21K,-3.07%
8/29/2022,53777,52982,53865,52276,127.63K,1.50%
8/30/2022,54306,53953,55454,53423,414.25K,0.98%
8/31/2022,52099,53423,53865,51834,943.23K,-4.06%
9/5/2022,53423,52894,53600,51922,1.47M,2.54%
9/6/2022,57132,53600,57132,53512,634.86K,6.94%
9/7/2022,55719,57397,57397,55454,427.96K,-2.47%
9/8/2022,56073,57044,57132,55454,232.83K,0.64%
9/9/2022,56867,56337,56867,55719,196.71K,1.42%
9/12/2022,50000,48550,50000,47050,318.70K,-12.08%
9/13/2022,50900,50500,52600,50500,188.40K,1.80%
9/14/2022,50600,50900,50900,49600,129.30K,-0.59%
9/15/2022,53000,51000,53000,50300,255.80K,4.74%
9/16/2022,52800,54000,54800,51900,243.50K,-0.38%
9/19/2022,51500,52900,53000,50100,160.00K,-2.46%
9/20/2022,52000,51400,52500,50600,154.90K,0.97%
9/21/2022,50900,52200,52200,50700,59.40K,-2.12%
9/22/2022,50900,50200,51000,49900,124.80K,0.00%
9/23/2022,50600,51000,51200,50000,71.80K,-0.59%
9/26/2022,47500,51000,51000,47200,186.70K,-6.13%
9/27/2022,48400,46000,48400,46000,75.60K,1.89%
9/28/2022,46400,47500,47900,46400,75.70K,-4.13%
9/29/2022,44600,46300,47900,44600,182.10K,-3.88%
9/30/2022,45800,44600,45900,43550,68.70K,2.69%
10/3/2022,42600,45800,45800,42600,126.80K,-6.99%
10/4/2022,43450,42600,43800,42600,67.40K,2.00%
10/5/2022,44500,45000,45600,43700,28.50K,2.42%
10/6/2022,42650,44100,44950,42600,27.90K,-4.16%
