Date,Price,Open,High,Low,Vol.,Change %
11/17/2021,30100,30400,30500,29300,142.04K,-1.31%
11/18/2021,30600,30200,30900,29600,324.51K,1.66%
11/19/2021,29500,30400,31000,26000,283.71K,-3.59%
11/22/2021,26800,29300,29700,26600,338.93K,-9.15%
11/23/2021,27900,26800,27900,26000,211.80K,4.10%
11/24/2021,27400,28900,28900,26900,94.62K,-1.79%
11/25/2021,27200,28000,28200,26900,123.40K,-0.73%
11/26/2021,27500,27000,27800,26200,183.10K,1.10%
11/29/2021,27700,26800,27700,26200,109.72K,0.73%
11/30/2021,27300,27700,28000,27000,160.40K,-1.44%
12/1/2021,27400,27500,27500,27000,72.71K,0.37%
12/2/2021,27500,27400,28000,27000,61.11K,0.36%
12/3/2021,26500,27300,27300,26500,119.01K,-3.64%
12/6/2021,24800,26500,26500,24500,167.00K,-6.42%
12/7/2021,25600,25000,25800,25000,85.00K,3.23%
12/8/2021,26300,25400,26300,25400,31.20K,2.73%
12/9/2021,26400,26000,26500,25600,30.40K,0.38%
12/10/2021,26100,26200,26200,26000,24.10K,-1.14%
12/13/2021,26500,26500,26600,26200,42.61K,1.53%
12/14/2021,27500,26400,28000,26300,131.50K,3.77%
12/15/2021,27200,27500,27500,27000,56.20K,-1.09%
12/16/2021,27200,27200,27200,27000,51.00K,0.00%
12/17/2021,27100,27200,27300,26700,86.80K,-0.37%
12/20/2021,26900,27100,27500,26700,59.70K,-0.74%
12/21/2021,26900,27200,27200,26500,76.40K,0.00%
12/22/2021,26600,26600,26800,26000,80.58K,-1.12%
12/23/2021,25900,26500,26500,25500,88.00K,-2.63%
12/24/2021,25900,25500,26500,25200,57.75K,0.00%
12/27/2021,25700,25900,25900,25600,22.00K,-0.77%
12/28/2021,25000,25500,25700,24800,104.89K,-2.72%
12/29/2021,24800,25000,25100,24700,46.13K,-0.80%
12/30/2021,25700,24700,25900,24500,63.04K,3.63%
12/31/2021,25800,25800,26100,25800,55.80K,0.39%
1/4/2022,26000,25900,26000,25500,27.40K,0.78%
1/5/2022,25500,25800,25900,25400,65.30K,-1.92%
1/6/2022,25100,25400,25700,25100,63.40K,-1.57%
1/7/2022,25000,25200,25300,24800,88.31K,-0.40%
1/10/2022,25600,24700,25600,24500,90.62K,2.40%
1/11/2022,25000,25300,25300,24900,44.90K,-2.34%
1/12/2022,24600,24700,24800,24300,53.50K,-1.60%
1/13/2022,24500,25400,25400,24500,28.00K,-0.41%
1/14/2022,24600,24400,24800,24100,42.90K,0.41%
1/17/2022,23800,24600,24600,22500,59.41K,-3.25%
1/18/2022,23000,22400,24000,20400,37.51K,-3.36%
1/19/2022,22700,22800,22900,22500,17.03K,-1.30%
1/20/2022,22900,22700,22900,22500,55.70K,0.88%
1/21/2022,23000,22500,23200,22500,38.65K,0.44%
1/24/2022,23000,23000,23100,22000,44.23K,0.00%
1/25/2022,22300,22600,22900,22200,29.10K,-3.04%
1/26/2022,22600,22600,23000,22400,23.34K,1.35%
1/27/2022,23300,22200,24000,22200,12.40K,3.10%
1/28/2022,22600,23900,23900,22200,77.70K,-3.00%
2/7/2022,22800,22400,23100,22400,33.60K,0.88%
2/8/2022,23300,22600,23300,22600,32.00K,2.19%
2/9/2022,23200,23000,23500,22900,59.40K,-0.43%
2/10/2022,24000,25000,25000,23500,100.50K,3.45%
2/11/2022,24300,24000,25000,24000,107.20K,1.25%
2/14/2022,24500,24400,24500,24000,68.52K,0.82%
2/15/2022,24800,24400,25000,24200,74.40K,1.22%
2/16/2022,26000,24800,26300,24800,136.00K,4.84%
2/17/2022,27100,26200,27300,26200,184.10K,4.23%
2/18/2022,26600,28000,28000,26300,111.20K,-1.85%
2/21/2022,25800,26000,26500,25500,86.10K,-3.01%
2/22/2022,26000,25700,26000,25000,93.90K,0.78%
2/23/2022,26300,27000,27200,25400,49.70K,1.15%
2/24/2022,25200,26300,26700,24600,88.30K,-4.18%
2/25/2022,25500,25400,25700,25300,28.80K,1.19%
2/28/2022,25400,25700,25700,25100,17.10K,-0.39%
3/1/2022,25300,25100,25600,25100,23.00K,-0.39%
3/2/2022,25000,25200,25400,24900,32.00K,-1.19%
3/3/2022,25700,25100,26000,25000,88.40K,2.80%
3/4/2022,25800,25700,26000,25300,39.50K,0.39%
3/7/2022,28200,25800,28400,25700,604.20K,9.30%
3/8/2022,27700,28200,29200,27400,360.80K,-1.77%
3/9/2022,27700,28100,28100,26400,195.10K,0.00%
3/10/2022,28700,27600,28900,27400,569.10K,3.61%
3/11/2022,28800,28600,29400,28600,739.33K,0.35%
3/14/2022,27900,28800,28800,27400,180.70K,-3.13%
3/15/2022,27000,27700,27700,26700,203.20K,-3.23%
3/16/2022,27200,27000,27600,26000,136.05K,0.74%
3/17/2022,27400,27300,27800,27200,102.43K,0.74%
3/18/2022,26800,27400,27400,26600,142.13K,-2.19%
3/21/2022,27000,27000,27200,26500,141.70K,0.75%
3/22/2022,27000,26800,27400,26800,92.00K,0.00%
3/23/2022,26600,27000,27000,26600,127.40K,-1.48%
3/24/2022,27300,26600,28500,26100,143.00K,2.63%
3/25/2022,27300,27500,27500,27000,65.00K,0.00%
3/28/2022,26300,27200,27200,26200,136.12K,-3.66%
3/29/2022,26300,26300,26400,25600,109.70K,0.00%
3/30/2022,26000,26100,26800,25900,116.02K,-1.14%
3/31/2022,25700,25900,25900,25400,88.50K,-1.15%
4/1/2022,25400,25000,25900,24600,71.70K,-1.17%
4/4/2022,25200,25100,25500,25100,71.80K,-0.79%
4/5/2022,25300,25800,26000,25200,58.30K,0.40%
4/6/2022,25000,25000,25400,24800,75.00K,-1.19%
4/7/2022,24500,24800,25000,24500,85.30K,-2.00%
4/8/2022,24600,24900,25000,24400,48.60K,0.41%
4/12/2022,23500,24600,24600,23500,118.30K,-4.47%
4/13/2022,23300,23500,23600,22600,82.00K,-0.85%
4/14/2022,23000,23400,23400,23000,42.91K,-1.29%
4/15/2022,23400,23900,24000,22800,75.81K,1.74%
4/18/2022,22700,23500,23500,22500,48.30K,-2.99%
4/19/2022,21800,22500,22800,21000,51.30K,-3.96%
4/20/2022,20000,21900,21900,20000,60.30K,-8.26%
4/21/2022,18600,18000,22000,18000,71.82K,-7.00%
4/22/2022,20000,21600,21600,18600,52.70K,7.53%
4/26/2022,18900,19000,19000,17600,39.30K,-5.50%
4/27/2022,20200,20200,20400,19600,53.60K,6.88%
4/29/2022,20200,20300,20300,19000,26.60K,0.00%
5/4/2022,19800,19400,20300,19400,27.20K,-1.98%
5/5/2022,20000,20200,20200,19700,1.20K,1.01%
5/6/2022,19500,19100,19900,19100,26.00K,-2.50%
5/9/2022,17600,18100,18700,17600,43.50K,-9.74%
5/10/2022,17700,18200,18200,17500,14.30K,0.57%
5/11/2022,18300,17700,18300,17700,17.80K,3.39%
5/12/2022,17700,18100,18200,17000,31.60K,-3.28%
5/13/2022,15600,17600,18500,15500,91.00K,-11.86%
5/16/2022,16800,16800,17000,16100,74.30K,7.69%
5/17/2022,17500,16600,17500,16500,47.40K,4.17%
5/18/2022,17100,16800,18100,16800,5.80K,-2.29%
5/19/2022,17100,16800,17100,16600,22.00K,0.00%
5/20/2022,16800,16900,17500,16800,6.10K,-1.75%
5/23/2022,16700,17000,17000,16700,32.80K,-0.60%
5/24/2022,17100,17000,17500,17000,62.00K,2.40%
5/25/2022,18400,17400,18800,17400,35.40K,7.60%
5/26/2022,18600,19100,19100,18400,18.40K,1.09%
5/27/2022,18100,19000,19000,18100,72.40K,-2.69%
5/30/2022,18300,18100,18500,17900,8.30K,1.10%
5/31/2022,18300,19000,19000,18200,7.10K,0.00%
6/1/2022,17800,18200,18200,17800,20.00K,-2.73%
6/2/2022,17400,18100,18500,17400,37.30K,-2.25%
6/3/2022,18000,17800,18000,17400,15.80K,3.45%
6/6/2022,17100,18000,18000,17100,13.10K,-5.00%
6/7/2022,17700,17900,17900,17100,2.60K,3.51%
6/8/2022,17900,17500,17900,17500,30.90K,1.13%
6/9/2022,17600,18000,18000,17400,3.80K,-1.68%
6/10/2022,17200,17900,17900,17200,34.10K,-2.27%
6/13/2022,16900,17200,17200,16100,39.30K,-1.74%
6/14/2022,16000,16200,16500,15700,29.80K,-5.33%
6/15/2022,15400,16100,16100,15400,16.80K,-3.75%
6/16/2022,16200,15000,16800,15000,4.90K,5.19%
6/17/2022,14600,15900,15900,14100,9.40K,-9.88%
6/20/2022,14500,15900,15900,13600,41.10K,-0.68%
6/21/2022,13600,14800,14800,13600,26.10K,-6.21%
6/22/2022,14100,14000,14100,14000,13.80K,3.68%
6/23/2022,14800,14800,14800,14700,12.10K,4.96%
6/24/2022,15100,15100,15200,15000,8.60K,2.03%
6/27/2022,15200,15300,15300,14200,18.00K,0.66%
6/28/2022,15400,16000,16000,15100,21.80K,1.32%
6/29/2022,14700,15100,15100,14700,7.60K,-4.55%
6/30/2022,14800,15900,15900,14800,7.80K,0.68%
7/1/2022,15000,15200,15200,14500,6.20K,1.35%
7/4/2022,15200,15000,15300,14800,14.50K,1.33%
7/5/2022,15000,15200,15200,15000,11.50K,-1.32%
7/6/2022,15100,15200,15200,15100,0.30K,0.67%
7/7/2022,15000,15100,15100,15000,0.80K,-0.66%
7/8/2022,14900,15000,15000,14600,7.10K,-0.67%
7/11/2022,14600,15000,15000,14500,2.30K,-2.01%
7/12/2022,14800,15000,15000,14400,9.00K,1.37%
7/13/2022,14600,15000,15000,14600,8.10K,-1.35%
7/14/2022,14800,14800,15000,14700,7.00K,1.37%
7/15/2022,15300,15000,16000,15000,22.80K,3.38%
7/18/2022,15400,15400,15600,15000,6.40K,0.65%
7/19/2022,15200,15400,15400,15000,7.20K,-1.30%
7/20/2022,15800,15800,16000,15500,18.80K,3.95%
7/21/2022,16600,16000,17000,15800,56.60K,5.06%
7/22/2022,15900,16800,16800,15900,43.90K,-4.22%
7/25/2022,15800,16800,16800,15800,12.70K,-0.63%
7/26/2022,16100,16100,16500,15500,19.30K,1.90%
7/27/2022,15700,16300,16300,15500,12.30K,-2.48%
7/28/2022,15900,16000,16000,15600,6.50K,1.27%
7/29/2022,15900,16200,16200,15700,6.80K,0.00%
8/1/2022,15900,15900,16400,15400,61.90K,0.00%
8/2/2022,15700,15600,16000,15600,15.10K,-1.26%
8/3/2022,15800,15600,16000,15600,18.20K,0.64%
8/4/2022,16100,16100,16400,16000,41.00K,1.90%
8/5/2022,15800,15800,16000,15800,8.20K,-1.86%
8/8/2022,15800,16200,16200,15800,8.90K,0.00%
8/9/2022,15800,16000,16000,15700,15.80K,0.00%
8/10/2022,18000,16200,18000,15800,197.00K,13.92%
8/11/2022,18300,18000,18300,17200,126.00K,1.67%
8/12/2022,18600,18500,18600,18000,68.10K,1.64%
8/15/2022,18000,18700,18800,18000,95.90K,-3.23%
8/16/2022,17500,18300,18300,17300,51.60K,-2.78%
8/17/2022,17700,18700,18700,17300,37.00K,1.14%
8/18/2022,17200,17100,17700,17000,8.40K,-2.82%
8/19/2022,17100,17600,17600,17100,17.20K,-0.58%
8/22/2022,17300,17500,18300,17000,8.70K,1.17%
8/23/2022,17200,17900,17900,17200,6.10K,-0.58%
8/24/2022,17500,17000,17500,17000,17.10K,1.74%
