Date,Price,Open,High,Low,Vol.,Change %
9/3/2019,109333,109778,110578,108622,196.20K,-0.40%
9/4/2019,108800,109333,109778,108178,433.69K,-0.49%
9/5/2019,108445,109245,109689,108445,341.00K,-0.33%
9/6/2019,107645,108445,109333,107556,315.37K,-0.74%
9/9/2019,108978,108356,109156,107645,186.45K,1.24%
9/10/2019,108445,109333,109511,108445,278.08K,-0.49%
9/11/2019,108000,108445,109156,107556,198.70K,-0.41%
9/12/2019,108000,108000,108533,107822,211.70K,0.00%
9/13/2019,108800,108533,109245,107378,313.31K,0.74%
9/16/2019,109156,108445,110845,108445,372.00K,0.33%
9/17/2019,109156,108533,110045,108445,468.93K,0.00%
9/18/2019,108622,108889,109156,108533,204.56K,-0.49%
9/19/2019,108000,108889,109156,107911,388.40K,-0.57%
9/20/2019,106133,107911,108356,106133,2.06M,-1.73%
9/23/2019,105778,106222,107022,105689,538.68K,-0.33%
9/24/2019,106756,105778,107022,105778,290.34K,0.92%
9/25/2019,106400,106756,106933,105778,288.66K,-0.33%
9/26/2019,105778,106667,106667,105600,375.75K,-0.58%
9/27/2019,106489,105778,106933,105600,297.34K,0.67%
9/30/2019,106489,106667,107733,106311,347.27K,0.00%
10/1/2019,106578,107111,107467,106400,170.96K,0.08%
10/2/2019,104889,106578,107111,104889,613.42K,-1.58%
10/3/2019,104889,104178,104889,104089,731.77K,0.00%
10/4/2019,104889,104889,105511,104622,280.18K,0.00%
10/7/2019,104000,104889,104978,103556,525.51K,-0.85%
10/8/2019,104089,104178,104267,103467,397.96K,0.09%
10/9/2019,104000,103911,105156,103733,249.22K,-0.09%
10/10/2019,103911,104445,104622,103822,307.65K,-0.09%
10/11/2019,104889,104445,104889,103733,370.07K,0.94%
10/14/2019,104889,105333,106489,104445,402.92K,0.00%
10/15/2019,105245,104889,106045,104889,249.83K,0.34%
10/16/2019,104889,105778,105778,104622,252.75K,-0.34%
10/17/2019,104000,104800,105333,103911,539.00K,-0.85%
10/18/2019,104000,104000,104000,103556,294.14K,0.00%
10/21/2019,103911,104000,105156,103111,231.28K,-0.09%
10/22/2019,103822,104889,104889,103822,197.65K,-0.09%
10/23/2019,104089,103822,104445,103822,146.48K,0.26%
10/24/2019,104178,104089,104178,103556,446.52K,0.09%
10/25/2019,104178,104000,104356,103733,330.42K,0.00%
10/28/2019,104622,104000,104978,103733,301.91K,0.43%
10/29/2019,104711,104622,104800,104356,210.40K,0.08%
10/30/2019,106311,104889,106578,104711,676.05K,1.53%
10/31/2019,105778,106667,107022,105778,945.81K,-0.50%
11/1/2019,108889,106667,108889,106222,842.70K,2.94%
11/4/2019,108178,108889,108889,107289,348.39K,-0.65%
11/5/2019,108000,107556,108445,107467,293.09K,-0.16%
11/6/2019,108356,108000,108889,107556,582.53K,0.33%
11/7/2019,107378,108445,108711,107378,277.58K,-0.90%
11/8/2019,107111,108089,108089,106667,554.57K,-0.25%
11/11/2019,105689,107111,107111,105689,316.46K,-1.33%
11/12/2019,106133,105689,106578,105422,178.34K,0.42%
11/13/2019,105778,105689,106133,105245,363.93K,-0.33%
11/14/2019,106045,105778,106489,105600,281.36K,0.25%
11/15/2019,106311,105956,107378,105600,268.21K,0.25%
11/18/2019,104978,106489,106489,104800,301.30K,-1.25%
11/19/2019,104089,104889,105067,103822,552.95K,-0.85%
11/20/2019,103111,104178,104178,103111,793.59K,-0.94%
11/21/2019,102489,104000,104000,101156,1.76M,-0.60%
11/22/2019,103289,103022,103911,102489,347.56K,0.78%
11/25/2019,103111,103289,103289,102667,263.45K,-0.17%
11/26/2019,102400,103111,103111,102311,1.16M,-0.69%
11/27/2019,102756,102400,103378,102311,342.71K,0.35%
11/28/2019,102845,102311,103111,101600,262.10K,0.09%
11/29/2019,102845,102845,103200,101778,230.67K,0.00%
12/2/2019,102222,102667,103378,101156,337.55K,-0.61%
12/3/2019,102222,102222,103378,101511,337.65K,0.00%
12/4/2019,102667,101511,102667,101511,202.39K,0.43%
12/5/2019,102933,103111,103200,102667,188.16K,0.26%
12/6/2019,103022,103111,103378,102578,162.83K,0.09%
12/9/2019,103022,102933,103022,102222,211.87K,0.00%
12/10/2019,103022,102667,103022,100978,647.79K,0.00%
12/11/2019,103022,103022,103022,101778,339.04K,0.00%
12/12/2019,103111,103111,103111,102400,375.81K,0.09%
12/13/2019,103111,102933,103111,102133,332.29K,0.00%
12/16/2019,102933,103111,103111,102045,424.14K,-0.17%
12/17/2019,102933,102933,102933,101778,307.16K,0.00%
12/18/2019,102933,102222,103022,101778,952.98K,0.00%
12/19/2019,102933,102222,103111,101333,1.10M,0.00%
12/20/2019,102933,102933,102933,101956,944.10K,0.00%
12/23/2019,102845,102933,102933,101600,665.30K,-0.09%
12/24/2019,102667,102756,102756,101600,506.21K,-0.17%
